,Flag.leaf.length,Flag.leaf.width,Panicle.number.per.plant,Plant.height,Panicle.length,Primary.panicle.branch.number,Seed.number.per.panicle,Florets.per.panicle,Seed.length,Seed.width
222,29.94166667,1.1,3.834061464,143.25,27.00833333,10.75,4.862393051,4.976158865,8.061483333,3.027325
224,27.39166667,0.991666667,3.044522438,110.5833333,21.41818182,11,4.806997237,4.978612854,8.123975,3.57265
225,31.46666667,1.308333333,3.083437854,103.0833333,22.83333333,10.77777778,5.191946239,5.279041873,7.94155,3.916983333
227,31.29166667,1.133333333,3.208825489,145.9166667,27.975,8,4.905891872,5.064702515,8.33975,3.425516667
228,28.74166667,1.066666667,3.771482983,118.8181818,24.39166667,9.916666667,4.882801923,4.902802589,8.358458333,3.06465
231,17.84166667,1.041666667,4.171819874,75.08333333,19.80833333,8.833333333,4.334017415,4.406719247,7.757816667,3.02635
232,25.14166667,1.058333333,3.373026505,70.58333333,15.63333333,9.833333333,4.656554385,4.725777512,7.020018182,3.493909091
233,22.04166667,0.883333333,3.139110856,81.91666667,18.08333333,8.25,4.433788569,4.571268634,7.2806,3.3197
234,20.96666667,1.1,4.124442593,83.5,23.76363636,8.272727273,4.691347882,4.766438334,8.013363636,3.132063636
235,28.20833333,1.183333333,3.688879454,139.5,25.36363636,8.545454545,4.724971386,4.85557511,7.929525,3.029175
236,27.25,1.158333333,3.238678452,117.25,22.92222222,10.33333333,4.901564199,5.187385806,7.323566667,3.17715
237,22.8,0.958333333,2.823361048,95,23.33333333,9,4.539742381,4.685981829,11.23425833,2.818841667
239,26.3,1.455555556,2.756840365,106.8888889,24.6875,10.125,4.734442522,4.888090941,9.001075,3.558016667
240,24.26666667,1.358333333,2.751535313,103.75,24.17272727,11.81818182,4.895122407,5.034588535,9.196941667,3.587908333
241,25.83333333,1.183333333,3.54577861,98.77777778,24.8,10,4.954260887,5.164150852,7.828690909,2.730781818
242,26.46666667,1.275,3.198673118,115.1666667,21.75555556,9.111111111,4.994136295,5.085349143,8.778472727,3.201018182
243,29.27777778,1,3.633190548,86.33333333,20.71666667,8,4.421848129,4.588363068,9.918509091,3.147372727
244,42.08888889,1.288888889,3.251665648,100.5,30.6,12.85714286,4.968423445,5.479712568,9.576363636,2.889827273
245,29.73333333,1.083333333,3.094823176,115.9166667,25.73333333,11.45454545,4.955122584,5.031744257,8.173258333,3.579341667
247,21.90833333,0.716666667,3.617651945,97.25,22.975,8.818181818,4.483943729,4.610986571,7.9549,3.6031
248,29.33333333,1.158333333,2.833213344,119.5833333,22.24545455,9.727272727,4.972335369,5.177176427,8.566533333,3.647433333
249,29.3,1.308333333,3.326234343,103.25,23.28333333,8.166666667,4.55562974,4.967495801,8.297590909,3.849690909
250,28.63333333,0.966666667,3.32323584,94.66666667,19.46666667,7,4.158883083,4.331928798,7.523325,3.658483333
251,28.76666667,1.1,3.146305132,90,24.39166667,10.25,4.860458191,5.127924381,8.986816667,2.298658333
252,36.01666667,1.016666667,3.874667219,136.25,23.15555556,7.111111111,4.518819748,4.736198448,10.34176667,2.684391667
254,35.825,1.183333333,3.770843392,125.0833333,28,8.833333333,4.95774583,5.200002678,8.54785,3.047258333
255,24.96666667,1.133333333,3.657130756,124.3333333,22.58888889,8.222222222,4.49980967,4.602439187,7.688191667,3.090925
256,27.88333333,1.008333333,3.463128339,100.6666667,18.1125,8.875,4.354375103,4.506855497,8.1721,3.530291667
257,27.62727273,0.981818182,3.070633582,90.75,18.54166667,8.166666667,4.491441421,4.736929176,9.782033333,3.155941667
258,26.51666667,1.241666667,2.999890284,125.75,29.95,9,4.748548769,4.882801923,10.01429,2.62081
259,30.50833333,1.175,3.375879574,148.3333333,27.32222222,7.444444444,4.891032422,5.011241171,9.073908333,3.380366667
260,32.13333333,1,3.251665648,168,32.86666667,8.333333333,4.543294782,4.87866113,9.343808333,2.827325
262,27.81666667,1.408333333,3.462890951,130,20.91666667,8.5,4.899195732,4.976106587,8.038845455,3.074954545
263,27.33333333,1.225,2.931193752,108.1666667,19.94545455,11.72727273,5.084223651,5.185861028,7.8336,3.766341667
264,23.63333333,1.4,3.075774981,102.8333333,19.11666667,10,4.841558964,4.968655222,9.503625,3.584991667
265,31.31666667,1.316666667,2.818398258,127.5833333,22.35,9.375,4.946823781,5.076309534,8.284825,3.989291667
